Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
63,4.18500000,0.03741869,-0.00000000,-2.13993194,4.18500000,791.79265392,8.99132232,0.00000000,-0.00000001,26.13217702
64,4.25250000,0.03228323,-0.00000000,-2.12516424,4.25250000,790.08430857,9.28400298,0.00000000,-0.00000001,25.52526276
65,4.32000000,0.02744167,-0.00000000,-2.11042840,4.32000000,788.37176381,9.53534975,0.00000000,-0.00000001,24.89859256
66,4.38750000,0.02288498,-0.00000000,-2.09572451,4.38750000,786.65524925,9.74709522,0.00000000,-0.00000001,24.25495645
67,4.45500000,0.01860407,-0.00000000,-2.08105262,4.45500000,784.93498989,9.92096657,0.00000000,-0.00000001,23.59702752
68,4.52250000,0.01458975,-0.00000000,-2.06641282,4.52250000,783.21120631,10.05868157,0.00000000,-0.00000001,22.92736228
69,4.59000000,0.01083281,-0.00000000,-2.05180518,4.59000000,781.48411476,10.16194476,0.00000000,-0.00000001,22.24840127
70,4.65750000,0.00732404,0.00000000,-2.03722974,4.65750000,779.75392735,10.23201768,0.00000000,-0.00000001,21.56247000
71,4.72500000,0.00405419,0.00000000,-2.02268657,4.72500000,778.02085213,10.27080624,0.00000000,-0.00000001,20.87180881
72,4.79250000,0.00101408,0.00000000,-2.00817573,4.79250000,776.28509324,10.28050851,0.00000000,-0.00000001,20.17852939
73,4.86000000,-0.00180538,0.00000000,-1.99369726,4.86000000,774.54685102,10.26323553,0.00000000,-0.00000001,19.48459506
74,4.92750000,-0.00441318,0.00000000,-1.97925121,4.92750000,772.80632215,10.22101232,0.00000000,-0.00000001,18.79182667
75,4.99500000,-0.00681820,0.00000000,-1.96483762,4.99500000,771.06369969,10.15577897,0.00000000,-0.00000001,18.10190833
76,5.06250000,-0.00902919,0.00000000,-1.95045654,5.06250000,769.31917325,10.06939198,0.00000000,-0.00000000,17.41639325
77,5.13000000,-0.01105472,0.00000000,-1.93610799,5.13000000,767.57292908,9.96362562,0.00000000,-0.00000000,16.73670930
78,5.19750000,-0.01290325,0.00000000,-1.92179201,5.19750000,765.82515011,9.84017345,0.00000000,-0.00000000,16.06416457
79,5.26500000,-0.01458303,0.00000000,-1.90750862,5.26500000,764.07601610,9.70064991,0.00000000,-0.00000000,15.39995286
80,5.33250000,-0.01610217,0.00000000,-1.89325787,5.33250000,762.32570371,9.54659198,0.00000000,-0.00000000,14.74515899
81,5.40000000,-0.01746857,0.00000000,-1.87903975,5.40000000,760.57438658,9.37946101,0.00000000,-0.00000000,14.10076403
82,5.46750000,-0.01868995,0.00000000,-1.86485430,5.46750000,758.82223538,9.20064445,0.00000000,-0.00000000,13.46765041
83,5.53500000,-0.01977383,0.00000000,-1.85070153,5.53500000,757.06941795,9.01145781,0.00000000,-0.00000000,12.84660691
84,5.60250000,-0.02072754,0.00000000,-1.83658145,5.60250000,755.32346047,8.81314654,0.00000000,-0.00000000,12.23833351
85,5.67000000,-0.02155819,0.00000000,-1.82249394,5.67000000,753.58759137,8.60688798,0.00000000,-0.00000000,11.64344612
86,5.73750000,-0.02227270,0.00000000,-1.80843880,5.73750000,751.86178746,8.39379338,0.00000000,-0.00000000,11.06248118
87,5.80500000,-0.02287775,0.00000000,-1.79441585,5.80500000,750.14602569,8.17490991,0.00000000,-0.00000000,10.49590013
88,5.87250000,-0.02337984,0.00000000,-1.78042490,5.87250000,748.44028314,7.95122268,0.00000000,-0.00000000,9.94409371
89,5.94000000,-0.02378524,0.00000000,-1.76646576,5.94000000,746.74453702,7.72365678,0.00000000,-0.00000000,9.40738618
