Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
216,14.51250000,0.00008668,-0.00000000,-0.38897554,14.51250000,306.09203433,-0.00803543,-0.00000000,-0.00000000,0.02529652
217,14.58000000,0.00007900,-0.00000000,-0.38326662,14.58000000,302.17620726,-0.00552353,0.00000000,-0.00000000,0.02583891
218,14.64750000,0.00007172,-0.00000000,-0.37763074,14.64750000,298.30009960,-0.00322300,0.00000000,-0.00000000,0.02621175
219,14.71500000,0.00006486,-0.00000000,-0.37206716,14.71500000,294.46349906,-0.00112470,0.00000000,-0.00000000,0.02642930
220,14.78250000,0.00005839,-0.00000000,-0.36657513,14.78250000,290.66619072,0.00078057,0.00000000,-0.00000000,0.02650522
221,14.85000000,0.00005231,-0.00000000,-0.36115392,14.85000000,286.90795714,0.00250203,0.00000000,-0.00000000,0.02645253
222,14.91750000,0.00004661,-0.00000000,-0.35580281,14.91750000,283.18857843,0.00404889,0.00000000,-0.00000000,0.02628364
223,14.98500000,0.00004128,-0.00000000,-0.35052107,14.98500000,279.50783239,0.00543031,0.00000000,-0.00000000,0.02601034
224,15.05250000,0.00003630,-0.00000000,-0.34530797,15.05250000,275.86549455,0.00665536,0.00000000,-0.00000000,0.02564380
225,15.12000000,0.00003168,-0.00000000,-0.34016282,15.12000000,272.26133829,0.00773299,0.00000000,-0.00000000,0.02519456
226,15.18750000,0.00002738,-0.00000000,-0.33508488,15.18750000,268.69513496,0.00867200,0.00000000,-0.00000000,0.02467258
227,15.25500000,0.00002340,-0.00000000,-0.33007345,15.25500000,265.16665391,0.00948102,0.00000000,-0.00000000,0.02408722
228,15.32250000,0.00001972,-0.00000000,-0.32512784,15.32250000,261.67566260,0.01016849,0.00000000,-0.00000000,0.02344725
229,15.39000000,0.00001634,-0.00000000,-0.32024733,15.39000000,258.22192672,0.01074262,0.00000000,-0.00000000,0.02276088
230,15.45750000,0.00001324,-0.00000000,-0.31543124,15.45750000,254.80521022,0.01121140,0.00000000,-0.00000000,0.02203575
231,15.52500000,0.00001040,-0.00000000,-0.31067888,15.52500000,251.42527544,0.01158257,0.00000000,-0.00000000,0.02127898
232,15.59250000,0.00000781,-0.00000000,-0.30598955,15.59250000,248.08188316,0.01186359,0.00000000,-0.00000000,0.02049716
233,15.66000000,0.00000547,-0.00000000,-0.30136259,15.66000000,244.77479271,0.01206168,0.00000000,-0.00000000,0.01969637
234,15.72750000,0.00000334,-0.00000000,-0.29679730,15.72750000,241.50376201,0.01218376,0.00000000,-0.00000000,0.01888220
235,15.79500000,0.00000143,-0.00000000,-0.29229302,15.79500000,238.26854770,0.01223646,0.00000000,-0.00000000,0.01805980
236,15.86250000,-0.00000028,-0.00000000,-0.28784908,15.86250000,235.06890516,0.01222613,0.00000000,-0.00000000,0.01723384
237,15.93000000,-0.00000180,-0.00000000,-0.28346482,15.93000000,231.90458863,0.01215882,0.00000000,-0.00000000,0.01640858
238,15.99750000,-0.00000315,-0.00000000,-0.27913957,15.99750000,228.77535126,0.01204030,0.00000000,-0.00000000,0.01558786
239,16.06500000,-0.00000433,-0.00000000,-0.27487269,16.06500000,225.68094520,0.01187602,0.00000000,-0.00000000,0.01477514
240,16.13250000,-0.00000536,-0.00000000,-0.27066352,16.13250000,222.62112165,0.01167114,0.00000000,0.00000000,0.01397350
241,16.20000000,-0.00000625,-0.00000000,-0.26651142,16.20000000,219.59563097,0.01143055,0.00000000,0.00000000,0.01318570
242,16.26750000,-0.00000701,-0.00000000,-0.26241575,16.26750000,216.60422267,0.01115884,0.00000000,0.00000000,0.01241414
243,16.33500000,-0.00000765,-0.00000000,-0.25837587,16.33500000,213.64664558,0.01086029,0.00000000,0.00000000,0.01166092
244,16.40250000,-0.00000818,-0.00000000,-0.25439115,16.40250000,210.72264785,0.01053895,0.00000000,0.00000000,0.01092785
245,16.47000000,-0.00000860,-0.00000000,-0.25046097,16.47000000,207.83197700,0.01019857,0.00000000,0.00000000,0.01021647
246,16.53750000,-0.00000893,-0.00000000,-0.24658470,16.53750000,204.97438007,0.00984264,0.00000000,0.00000000,0.00952807
247,16.60500000,-0.00000918,-0.00000000,-0.24276173,16.60500000,202.14960358,0.00947439,0.00000000,0.00000000,0.00886369
248,16.67250000,-0.00000934,-0.00000000,-0.23899145,16.67250000,199.35739366,0.00909681,0.00000000,0.00000000,0.00822417
249,16.74000000,-0.00000944,-0.00000000,-0.23527324,16.74000000,196.59749609,0.00871265,-0.00000000,0.00000000,0.00761013
250,16.80750000,-0.00000948,-0.00000000,-0.23160650,16.80750000,193.86965635,0.00832443,-0.00000000,0.00000000,0.00702203
251,16.87500000,-0.00000945,-0.00000000,-0.22799065,16.87500000,191.17361969,0.00793445,-0.00000000,0.00000000,0.00646013
252,16.94250000,-0.00000938,-0.00000000,-0.22442507,16.94250000,188.50913118,0.00754478,-0.00000000,0.00000000,0.00592455
253,17.01000000,-0.00000927,-0.00000000,-0.22090919,17.01000000,185.87593578,0.00715731,-0.00000000,0.00000000,0.00541528
254,17.07750000,-0.00000912,-0.00000000,-0.21744243,17.07750000,183.27377836,0.00677373,-0.00000000,0.00000000,0.00493216
255,17.14500000,-0.00000893,-0.00000000,-0.21402419,17.14500000,180.70240380,0.00639554,-0.00000000,0.00000000,0.00447494
256,17.21250000,-0.00000871,-0.00000000,-0.21065392,17.21250000,178.16155701,0.00602409,-0.00000000,0.00000000,0.00404324
257,17.28000000,-0.00000847,-0.00000000,-0.20733103,17.28000000,175.65098297,0.00566055,-0.00000000,0.00000000,0.00363661
258,17.34750000,-0.00000821,-0.00000000,-0.20405497,17.34750000,173.17042683,0.00530594,-0.00000000,0.00000000,0.00325452
259,17.41500000,-0.00000793,-0.00000000,-0.20082518,17.41500000,170.71963391,0.00496112,-0.00000000,0.00000000,0.00289637
260,17.48250000,-0.00000764,-0.00000000,-0.19764109,17.48250000,168.29834977,0.00462685,-0.00000000,0.00000000,0.00256150
261,17.55000000,-0.00000734,0.00000000,-0.19450216,17.55000000,165.90632024,0.00430373,-0.00000000,-0.00000000,0.00224919
262,17.61750000,-0.00000703,0.00000000,-0.19140785,17.61750000,163.54329151,0.00399228,-0.00000000,-0.00000000,0.00195868
263,17.68500000,-0.00000672,0.00000000,-0.18835761,17.68500000,161.20901010,0.00369288,-0.00000000,-0.00000000,0.00168920
264,17.75250000,-0.00000640,0.00000000,-0.18535090,17.75250000,158.90322298,0.00340582,-0.00000000,-0.00000000,0.00143994
265,17.82000000,-0.00000608,0.00000000,-0.18238720,17.82000000,156.62567756,0.00313131,-0.00000000,-0.00000000,0.00121004
266,17.88750000,-0.00000577,0.00000000,-0.17946598,17.88750000,154.37612177,0.00286947,-0.00000000,-0.00000000,0.00099868
267,17.95500000,-0.00000545,0.00000000,-0.17658672,17.95500000,152.15430404,0.00262033,-0.00000000,-0.00000000,0.00080499
268,18.02250000,-0.00000514,0.00000000,-0.17374889,18.02250000,149.95997343,0.00238388,-0.00000000,-0.00000000,0.00062812
269,18.09000000,-0.00000484,0.00000000,-0.17095199,18.09000000,147.79287958,0.00216002,-0.00000000,-0.00000000,0.00046721
270,18.15750000,-0.00000454,0.00000000,-0.16819551,18.15750000,145.65277280,0.00194861,-0.00000000,-0.00000000,0.00032140
271,18.22500000,-0.00000425,0.00000000,-0.16547895,18.22500000,143.53940411,0.00174947,-0.00000000,-0.00000000,0.00018987
272,18.29250000,-0.00000397,0.00000000,-0.16280180,18.29250000,141.45252522,0.00156234,-0.00000000,-0.00000000,0.00007178
273,18.36000000,-0.00000370,0.00000000,-0.16016357,18.36000000,139.39188864,0.00138696,-0.00000000,-0.00000000,-0.00003367
274,18.42750000,-0.00000344,0.00000000,-0.15756378,18.42750000,137.35724766,0.00122302,-0.00000000,-0.00000000,-0.00012729
275,18.49500000,-0.00000319,0.00000000,-0.15500193,18.49500000,135.34835640,0.00107019,0.00000000,-0.00000000,-0.00020985
276,18.56250000,-0.00000295,0.00000000,-0.15247755,18.56250000,133.36496984,0.00092810,0.00000000,-0.00000000,-0.00028209
277,18.63000000,-0.00000272,0.00000000,-0.14999017,18.63000000,131.40684386,0.00079639,0.00000000,-0.00000000,-0.00034473
278,18.69750000,-0.00000250,0.00000000,-0.14753930,18.69750000,129.47373527,0.00067465,0.00000000,-0.00000000,-0.00039849
279,18.76500000,-0.00000229,0.00000000,-0.14512449,18.76500000,127.56540181,0.00056247,0.00000000,-0.00000000,-0.00044403
280,18.83250000,-0.00000209,0.00000000,-0.14274527,18.83250000,125.68160223,0.00045946,0.00000000,-0.00000000,-0.00048199
281,18.90000000,-0.00000190,0.00000000,-0.14040119,18.90000000,123.82209627,0.00036517,0.00000000,-0.00000000,-0.00051301
282,18.96750000,-0.00000172,0.00000000,-0.13809179,18.96750000,121.98664471,0.00027921,0.00000000,-0.00000000,-0.00053766
283,19.03500000,-0.00000156,0.00000000,-0.13581662,19.03500000,120.17500940,0.00020113,0.00000000,-0.00000000,-0.00055650
284,19.10250000,-0.00000140,0.00000000,-0.13357524,19.10250000,118.38695327,0.00013052,0.00000000,-0.00000000,-0.00057008
285,19.17000000,-0.00000125,0.00000000,-0.13136721,19.17000000,116.62224038,0.00006697,0.00000000,-0.00000000,-0.00057889
286,19.23750000,-0.00000112,0.00000000,-0.12919209,19.23750000,114.88063589,0.00001005,0.00000000,-0.00000000,-0.00058341
287,19.30500000,-0.00000099,0.00000000,-0.12704945,19.30500000,113.16190616,-0.00004062,0.00000000,-0.00000000,-0.00058409
288,19.37250000,-0.00000087,0.00000000,-0.12493887,19.37250000,111.46581872,-0.00008546,0.00000000,-0.00000000,-0.00058135
289,19.44000000,-0.00000076,0.00000000,-0.12285993,19.44000000,109.79214228,-0.00012483,0.00000000,-0.00000000,-0.00057558
290,19.50750000,-0.00000066,0.00000000,-0.12081220,19.50750000,108.14064682,-0.00015912,0.00000000,-0.00000000,-0.00056715
291,19.57500000,-0.00000056,0.00000000,-0.11879527,19.57500000,106.51110352,-0.00018869,0.00000000,-0.00000000,-0.00055641
292,19.64250000,-0.00000048,0.00000000,-0.11680874,19.64250000,104.90328486,-0.00021389,0.00000000,-0.00000000,-0.00054367
293,19.71000000,-0.00000040,0.00000000,-0.11485219,19.71000000,103.31696458,-0.00023505,0.00000000,-0.00000000,-0.00052924
294,19.77750000,-0.00000033,0.00000000,-0.11292523,19.77750000,101.75191773,-0.00025250,0.00000000,-0.00000000,-0.00051337
295,19.84500000,-0.00000026,0.00000000,-0.11102745,19.84500000,100.20792069,-0.00026655,0.00000000,-0.00000000,-0.00049633
296,19.91250000,-0.00000020,0.00000000,-0.10915848,19.91250000,98.68475115,-0.00027748,0.00000000,-0.00000000,-0.00047833
297,19.98000000,-0.00000015,0.00000000,-0.10731791,19.98000000,97.18218818,-0.00028559,0.00000000,-0.00000000,-0.00045960
298,20.04750000,-0.00000010,0.00000000,-0.10550537,20.04750000,95.70001220,-0.00029113,0.00000000,-0.00000000,-0.00044033
299,20.11500000,-0.00000006,0.00000000,-0.10372047,20.11500000,94.23800502,-0.00029436,0.00000000,-0.00000000,-0.00042068
300,20.18250000,-0.00000002,0.00000000,-0.10196284,20.18250000,92.79594985,-0.00029551,0.00000000,-0.00000000,-0.00040081
301,20.25000000,0.00000001,0.00000000,-0.10023211,20.25000000,91.37363131,-0.00029482,0.00000000,-0.00000000,-0.00038086
302,20.31750000,0.00000004,0.00000000,-0.09852790,20.31750000,89.97083543,-0.00029248,0.00000000,-0.00000000,-0.00036096
303,20.38500000,0.00000007,0.00000000,-0.09684986,20.38500000,88.58734970,-0.00028869,0.00000000,-0.00000000,-0.00034122
304,20.45250000,0.00000009,0.00000000,-0.09519762,20.45250000,87.22296305,-0.00028365,0.00000000,-0.00000000,-0.00032173
305,20.52000000,0.00000011,0.00000000,-0.09357082,20.52000000,85.87746586,-0.00027750,0.00000000,-0.00000000,-0.00030258
306,20.58750000,0.00000013,0.00000000,-0.09196913,20.58750000,84.55064999,-0.00027043,0.00000000,-0.00000000,-0.00028385
307,20.65500000,0.00000014,0.00000000,-0.09039217,20.65500000,83.24230879,-0.00026256,0.00000000,0.00000000,-0.00026560
308,20.72250000,0.00000015,0.00000000,-0.08883963,20.72250000,81.95223709,-0.00025404,0.00000000,0.00000000,-0.00024788
309,20.79000000,0.00000016,0.00000000,-0.08731114,20.79000000,80.68023123,-0.00024499,0.00000000,0.00000000,-0.00023073
310,20.85750000,0.00000016,0.00000000,-0.08580637,20.85750000,79.42608905,-0.00023552,0.00000000,0.00000000,-0.00021419
311,20.92500000,0.00000017,0.00000000,-0.08432500,20.92500000,78.18960993,-0.00022573,0.00000000,0.00000000,-0.00019829
312,20.99250000,0.00000017,0.00000000,-0.08286669,20.99250000,76.97059474,-0.00021572,0.00000000,0.00000000,-0.00018306
313,21.06000000,0.00000017,0.00000000,-0.08143111,21.06000000,75.76884592,-0.00020557,0.00000000,0.00000000,-0.00016850
314,21.12750000,0.00000017,0.00000000,-0.08001795,21.12750000,74.58416744,-0.00019536,0.00000000,0.00000000,-0.00015462
315,21.19500000,0.00000017,0.00000000,-0.07862688,21.19500000,73.41636481,-0.00018516,0.00000000,0.00000000,-0.00014143
316,21.26250000,0.00000017,0.00000000,-0.07725759,21.26250000,72.26524511,-0.00017502,0.00000000,0.00000000,-0.00012893
317,21.33000000,0.00000017,0.00000000,-0.07590978,21.33000000,71.13061696,-0.00016499,0.00000000,0.00000000,-0.00011712
318,21.39750000,0.00000016,-0.00000000,-0.07458312,21.39750000,70.01229056,-0.00015513,0.00000000,0.00000000,-0.00010598
319,21.46500000,0.00000016,-0.00000000,-0.07327733,21.46500000,68.91007768,-0.00014548,0.00000000,0.00000000,-0.00009551
320,21.53250000,0.00000016,-0.00000000,-0.07199209,21.53250000,67.82379166,-0.00013606,0.00000000,0.00000000,-0.00008569
321,21.60000000,0.00000015,-0.00000000,-0.07072711,21.60000000,66.75324742,-0.00012692,0.00000000,0.00000000,-0.00007651
322,21.66750000,0.00000015,-0.00000000,-0.06948209,21.66750000,65.69826146,-0.00011806,0.00000000,0.00000000,-0.00006794
323,21.73500000,0.00000014,-0.00000000,-0.06825676,21.73500000,64.65865187,-0.00010952,0.00000000,0.00000000,-0.00005997
324,21.80250000,0.00000013,-0.00000000,-0.06705081,21.80250000,63.63423834,-0.00010131,0.00000000,0.00000000,-0.00005258
325,21.87000000,0.00000013,-0.00000000,-0.06586397,21.87000000,62.62484213,-0.00009343,0.00000000,0.00000000,-0.00004574
326,21.93750000,0.00000012,-0.00000000,-0.06469596,21.93750000,61.63028612,-0.00008591,0.00000000,0.00000000,-0.00003943
327,22.00500000,0.00000011,-0.00000000,-0.06354649,22.00500000,60.65039475,-0.00007874,0.00000000,0.00000000,-0.00003364
328,22.07250000,0.00000011,-0.00000000,-0.06241530,22.07250000,59.68499410,-0.00007193,0.00000000,0.00000000,-0.00002832
329,22.14000000,0.00000010,-0.00000000,-0.06130212,22.14000000,58.73391183,-0.00006547,0.00000000,0.00000000,-0.00002347
330,22.20750000,0.00000010,-0.00000000,-0.06020668,22.20750000,57.79697719,-0.00005937,0.00000000,0.00000000,-0.00001905
331,22.27500000,0.00000009,-0.00000000,-0.05912871,22.27500000,56.87402104,-0.00005363,0.00000000,0.00000000,-0.00001504
332,22.34250000,0.00000008,-0.00000000,-0.05806795,22.34250000,55.96487586,-0.00004823,0.00000000,0.00000000,-0.00001142
333,22.41000000,0.00000008,-0.00000000,-0.05702415,22.41000000,55.06937571,-0.00004316,0.00000000,0.00000000,-0.00000816
334,22.47750000,0.00000007,-0.00000000,-0.05599705,22.47750000,54.18735626,-0.00003843,0.00000000,0.00000000,-0.00000525
335,22.54500000,0.00000007,-0.00000000,-0.05498641,22.54500000,53.31865479,-0.00003402,0.00000000,0.00000000,-0.00000266
336,22.61250000,0.00000006,-0.00000000,-0.05399196,22.61250000,52.46311016,-0.00002992,-0.00000000,0.00000000,-0.00000036
337,22.68000000,0.00000006,-0.00000000,-0.05301347,22.68000000,51.62056285,-0.00002613,-0.00000000,0.00000000,0.00000166
338,22.74750000,0.00000005,-0.00000000,-0.05205070,22.74750000,50.79085493,-0.00002262,-0.00000000,0.00000000,0.00000342
339,22.81500000,0.00000005,-0.00000000,-0.05110340,22.81500000,49.97383008,-0.00001939,-0.00000000,0.00000000,0.00000495
340,22.88250000,0.00000004,-0.00000000,-0.05017134,22.88250000,49.16933357,-0.00001642,-0.00000000,0.00000000,0.00000626
341,22.95000000,0.00000004,-0.00000000,-0.04925429,22.95000000,48.37721226,-0.00001370,-0.00000000,0.00000000,0.00000737
342,23.01750000,0.00000004,-0.00000000,-0.04835200,23.01750000,47.59731462,-0.00001122,-0.00000000,0.00000000,0.00000829
343,23.08500000,0.00000003,-0.00000000,-0.04746427,23.08500000,46.82949069,-0.00000897,-0.00000000,0.00000000,0.00000905
344,23.15250000,0.00000003,-0.00000000,-0.04659085,23.15250000,46.07359211,-0.00000694,-0.00000000,0.00000000,0.00000966
345,23.22000000,0.00000003,-0.00000000,-0.04573153,23.22000000,45.32947211,-0.00000510,-0.00000000,0.00000000,0.00001012
346,23.28750000,0.00000002,-0.00000000,-0.04488610,23.28750000,44.59698551,-0.00000345,-0.00000000,0.00000000,0.00001047
347,23.35500000,0.00000002,-0.00000000,-0.04405432,23.35500000,43.87598869,-0.00000199,-0.00000000,0.00000000,0.00001070
348,23.42250000,0.00000002,-0.00000000,-0.04323599,23.42250000,43.16633963,-0.00000068,-0.00000000,0.00000000,0.00001084
349,23.49000000,0.00000002,-0.00000000,-0.04243090,23.49000000,42.46789787,0.00000047,-0.00000000,0.00000000,0.00001088
350,23.55750000,0.00000001,-0.00000000,-0.04163883,23.55750000,41.78052454,0.00000148,-0.00000000,0.00000000,0.00001085
351,23.62500000,0.00000001,-0.00000000,-0.04085958,23.62500000,41.10408233,0.00000235,-0.00000000,0.00000000,0.00001075
352,23.69250000,0.00000001,-0.00000000,-0.04009295,23.69250000,40.43843548,0.00000310,-0.00000000,0.00000000,0.00001059
353,23.76000000,0.00000001,-0.00000000,-0.03933873,23.76000000,39.78344982,0.00000374,-0.00000000,0.00000000,0.00001038
354,23.82750000,0.00000001,-0.00000000,-0.03859673,23.82750000,39.13899272,0.00000428,-0.00000000,0.00000000,0.00001013
355,23.89500000,0.00000001,-0.00000000,-0.03786675,23.89500000,38.50493311,0.00000473,-0.00000000,0.00000000,0.00000984
356,23.96250000,0.00000001,-0.00000000,-0.03714860,23.96250000,37.88114147,0.00000509,-0.00000000,0.00000000,0.00000952
357,24.03000000,0.00000000,-0.00000000,-0.03644208,24.03000000,37.26748983,0.00000537,-0.00000000,0.00000000,0.00000918
358,24.09750000,0.00000000,-0.00000000,-0.03574700,24.09750000,36.66385176,0.00000558,-0.00000000,0.00000000,0.00000882
359,24.16500000,0.00000000,-0.00000000,-0.03506319,24.16500000,36.07010236,0.00000573,-0.00000000,0.00000000,0.00000844
360,24.23250000,0.00000000,-0.00000000,-0.03439045,24.23250000,35.48611829,0.00000582,-0.00000000,0.00000000,0.00000805
361,24.30000000,0.00000000,-0.00000000,-0.03372859,24.30000000,34.91177770,0.00000586,-0.00000000,0.00000000,0.00000766
362,24.36750000,-0.00000000,-0.00000000,-0.03307746,24.36750000,34.34696031,0.00000586,-0.00000000,0.00000000,0.00000726
363,24.43500000,-0.00000000,-0.00000000,-0.03243685,24.43500000,33.79154732,0.00000582,-0.00000000,0.00000000,0.00000687
364,24.50250000,-0.00000000,-0.00000000,-0.03180661,24.50250000,33.24542148,0.00000574,-0.00000000,0.00000000,0.00000648
365,24.57000000,-0.00000000,-0.00000000,-0.03118655,24.57000000,32.70846704,0.00000564,-0.00000000,0.00000000,0.00000609
366,24.63750000,-0.00000000,-0.00000000,-0.03057650,24.63750000,32.18056974,0.00000551,-0.00000000,0.00000000,0.00000571
367,24.70500000,-0.00000000,-0.00000000,-0.02997630,24.70500000,31.66161686,0.00000536,-0.00000000,0.00000000,0.00000534
368,24.77250000,-0.00000000,-0.00000000,-0.02938578,24.77250000,31.15149714,0.00000519,-0.00000000,0.00000000,0.00000498
369,24.84000000,-0.00000000,-0.00000000,-0.02880478,24.84000000,30.65010085,0.00000501,-0.00000000,0.00000000,0.00000462
370,24.90750000,-0.00000000,-0.00000000,-0.02823312,24.90750000,30.15731972,0.00000482,-0.00000000,0.00000000,0.00000429
371,24.97500000,-0.00000000,-0.00000000,-0.02767066,24.97500000,29.67304698,0.00000461,-0.00000000,0.00000000,0.00000396
372,25.04250000,-0.00000000,-0.00000000,-0.02711723,25.04250000,29.19717735,0.00000440,-0.00000000,0.00000000,0.00000365
373,25.11000000,-0.00000000,-0.00000000,-0.02657267,25.11000000,28.72960699,0.00000419,-0.00000000,0.00000000,0.00000335
374,25.17750000,-0.00000000,-0.00000000,-0.02603684,25.17750000,28.27023358,0.00000398,-0.00000000,0.00000000,0.00000307
375,25.24500000,-0.00000000,-0.00000000,-0.02550957,25.24500000,27.81895623,0.00000376,-0.00000000,0.00000000,0.00000280
376,25.31250000,-0.00000000,-0.00000000,-0.02499072,25.31250000,27.37567553,0.00000355,-0.00000000,0.00000000,0.00000255
377,25.38000000,-0.00000000,-0.00000000,-0.02448014,25.38000000,26.94029352,0.00000333,-0.00000000,0.00000000,0.00000231
378,25.44750000,-0.00000000,-0.00000000,-0.02397768,25.44750000,26.51271370,0.00000312,-0.00000000,0.00000000,0.00000208
379,25.51500000,-0.00000000,-0.00000000,-0.02348319,25.51500000,26.09284102,0.00000292,-0.00000000,0.00000000,0.00000187
380,25.58250000,-0.00000000,-0.00000000,-0.02299653,25.58250000,25.68058187,0.00000272,-0.00000000,0.00000000,0.00000168
381,25.65000000,-0.00000000,-0.00000000,-0.02251756,25.65000000,25.27584407,0.00000252,-0.00000000,0.00000000,0.00000149
382,25.71750000,-0.00000000,-0.00000000,-0.02204615,25.71750000,24.87853692,0.00000233,-0.00000000,0.00000000,0.00000132
383,25.78500000,-0.00000000,-0.00000000,-0.02158214,25.78500000,24.48857109,0.00000215,-0.00000000,0.00000000,0.00000116
384,25.85250000,-0.00000000,-0.00000000,-0.02112540,25.85250000,24.10585874,0.00000198,-0.00000000,0.00000000,0.00000102
385,25.92000000,-0.00000000,-0.00000000,-0.02067580,25.92000000,23.73031341,0.00000181,-0.00000000,0.00000000,0.00000089
386,25.98750000,-0.00000000,-0.00000000,-0.02023321,25.98750000,23.36185009,0.00000164,-0.00000000,0.00000000,0.00000076
387,26.05500000,-0.00000000,-0.00000000,-0.01979749,26.05500000,23.00038517,0.00000149,-0.00000000,0.00000000,0.00000065
388,26.12250000,-0.00000000,-0.00000000,-0.01936851,26.12250000,22.64583646,0.00000134,-0.00000000,0.00000000,0.00000055
389,26.19000000,-0.00000000,-0.00000000,-0.01894614,26.19000000,22.29812319,0.00000120,-0.00000000,0.00000000,0.00000046
390,26.25750000,-0.00000000,-0.00000000,-0.01853026,26.25750000,21.95716598,0.00000106,-0.00000000,0.00000000,0.00000038
391,26.32500000,-0.00000000,-0.00000000,-0.01812074,26.32500000,21.62288686,0.00000094,-0.00000000,0.00000000,0.00000031
392,26.39250000,-0.00000000,-0.00000000,-0.01771745,26.39250000,21.29520928,0.00000082,-0.00000000,0.00000000,0.00000025
393,26.46000000,-0.00000000,-0.00000000,-0.01732027,26.46000000,20.97405806,0.00000070,-0.00000000,0.00000000,0.00000019
394,26.52750000,-0.00000000,-0.00000000,-0.01692909,26.52750000,20.65935943,0.00000059,-0.00000000,0.00000000,0.00000014
395,26.59500000,-0.00000000,-0.00000000,-0.01654377,26.59500000,20.35104101,0.00000049,-0.00000000,0.00000000,0.00000010
396,26.66250000,-0.00000000,-0.00000000,-0.01616420,26.66250000,20.04903181,0.00000039,-0.00000000,0.00000000,0.00000007
397,26.73000000,-0.00000000,-0.00000000,-0.01579027,26.73000000,19.75326224,0.00000029,-0.00000000,0.00000000,0.00000004
398,26.79750000,-0.00000000,-0.00000000,-0.01542185,26.79750000,19.46366408,0.00000020,-0.00000000,0.00000000,0.00000002
399,26.86500000,-0.00000000,-0.00000000,-0.01505884,26.86500000,19.18017050,0.00000012,-0.00000000,0.00000000,0.00000001
400,26.93250000,-0.00000000,-0.00000000,-0.01470111,26.93250000,18.90271605,0.00000004,-0.00000000,0.00000000,0.00000000
401,27.00000000,-0.00000000,-0.00000000,-0.01434855,27.00000000,0.00000000,0.00000004,-0.00000000,-0.00000000,-0.00000000
